category,file,codec,codec_profile,resolution,width,height,bitrate_mbps,nominal_fps,average_fps,pixel_format,possible_vfr,status,warning_count,trouble_score,severity,most_troubling,trouble_reason
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Azumanga Daioh/Azumanga Daioh Ep 9.mp4,h264,High,640x480,640,480,0.2,23.976,23.976,yuvj420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Azumanga Daioh/Azumanga Daioh Ep 10.mp4,h264,High,640x480,640,480,0.21,23.976,23.976,yuvj420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Azumanga Daioh/Azumanga Daioh Ep 11.mp4,h264,High,640x480,640,480,0.2,23.976,23.976,yuvj420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Azumanga Daioh/Azumanga Daioh Ep 12.mp4,h264,High,640x480,640,480,0.21,23.976,23.976,yuvj420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Azumanga Daioh/Azumanga Daioh Ep 13.mp4,h264,High,640x480,640,480,0.23,23.976,23.976,yuvj420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Azumanga Daioh/Azumanga Daioh Ep 14.mp4,h264,High,640x480,640,480,0.22,23.976,23.976,yuvj420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Azumanga Daioh/Azumanga Daioh Ep 15.mp4,h264,High,640x480,640,480,0.23,23.976,23.976,yuvj420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Azumanga Daioh/Azumanga Daioh Ep 16.mp4,h264,High,640x480,640,480,0.18,23.976,23.976,yuvj420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Azumanga Daioh/Azumanga Daioh Ep 17.mp4,h264,High,640x480,640,480,0.2,23.976,23.976,yuvj420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Azumanga Daioh/Azumanga Daioh Ep 18.mp4,h264,High,640x480,640,480,0.21,23.976,23.976,yuvj420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Azumanga Daioh/Azumanga Daioh Ep 19.mp4,h264,High,640x480,640,480,0.18,23.976,23.976,yuvj420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Azumanga Daioh/Azumanga Daioh Ep 20.mp4,h264,High,640x480,640,480,0.21,23.976,23.976,yuvj420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Azumanga Daioh/Azumanga Daioh Ep 21.mp4,h264,High,640x480,640,480,0.22,23.976,23.976,yuvj420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Azumanga Daioh/Azumanga Daioh Ep 22.mp4,h264,High,640x480,640,480,0.19,23.976,23.976,yuvj420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Azumanga Daioh/Azumanga Daioh Ep 23.mp4,h264,High,640x480,640,480,0.29,23.976,23.976,yuvj420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Azumanga Daioh/Azumanga Daioh Ep 24.mp4,h264,High,640x480,640,480,0.2,23.976,23.976,yuvj420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Azumanga Daioh/Azumanga Daioh Ep 25.mp4,h264,High,640x480,640,480,0.2,23.976,23.976,yuvj420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Azumanga Daioh/Azumanga Daioh Ep 26.mp4,h264,High,640x480,640,480,0.26,23.976,23.976,yuvj420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Azumanga Daioh/Azumanga Daioh Ep 27.mp4,h264,High,640x352,640,352,0.39,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold ep- 1.mp4,h264,High,1024x576,1024,576,0.64,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold ep- 2.mp4,h264,High,1024x576,1024,576,0.78,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold ep- 3.mp4,h264,High,1024x576,1024,576,0.7,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold ep- 4.mp4,h264,High,1024x576,1024,576,0.7,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold ep- 5.mp4,h264,High,1024x576,1024,576,0.72,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold ep- 6.mp4,h264,High,1024x576,1024,576,0.72,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold ep- 7.mp4,h264,High,1024x576,1024,576,0.58,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold ep- 8.mp4,h264,High,1024x576,1024,576,0.65,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold ep- 9.mp4,h264,High,1024x576,1024,576,0.69,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold ep- 10.mp4,h264,High,1024x576,1024,576,0.72,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold ep- 11.mp4,h264,High,1024x576,1024,576,0.65,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold ep- 12.mp4,h264,High,1024x576,1024,576,0.54,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold ep- 13.mp4,h264,High,1024x576,1024,576,0.65,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold ep- 14.mp4,h264,High,1024x576,1024,576,0.74,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold ep- 15.mp4,h264,High,1024x576,1024,576,0.59,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold ep- 16.mp4,h264,High,1024x576,1024,576,0.59,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold ep- 17.mp4,h264,High,1024x576,1024,576,0.73,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold ep- 18.mp4,h264,High,1024x576,1024,576,0.74,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold ep- 19.mp4,h264,High,1024x576,1024,576,0.63,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold ep- 20.mp4,h264,High,1024x576,1024,576,0.77,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold ep- 21.mp4,h264,High,1024x576,1024,576,0.58,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold ep- 22.mp4,h264,High,1024x576,1024,576,0.78,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold ep- 23.mp4,h264,High,1024x576,1024,576,0.66,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold ep- 24.mp4,h264,High,1024x576,1024,576,0.74,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold ep- 25.mp4,h264,High,1024x576,1024,576,0.78,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold ep- 26.mp4,h264,High,1024x576,1024,576,0.93,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S2 ep- 1.mp4,h264,High,1024x576,1024,576,0.64,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S2 ep- 2.mp4,h264,High,1024x576,1024,576,0.66,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S2 ep- 3.mp4,h264,High,1024x576,1024,576,0.95,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S2 ep- 4.mp4,h264,High,1024x576,1024,576,0.66,23.976,23.947,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
